cluster	sequencesNb	sizeOfSmallestSeq	sizeOfLargestSeq	averageSize	medSize
303	1	3011	3011	3011	3011
304	1	2988	2988	2988	2988
305	1	2940	2940	2940	2940
306	1	2936	2936	2936	2936
307	1	2854	2854	2854	2854
308	1	2853	2853	2853	2853
309	1	2852	2852	2852	2852
310	1	2839	2839	2839	2839
311	1	2837	2837	2837	2837
312	1	2798	2798	2798	2798
313	1	2792	2792	2792	2792
314	1	2788	2788	2788	2788
315	1	2762	2762	2762	2762
316	1	2762	2762	2762	2762
317	1	2762	2762	2762	2762
318	1	2751	2751	2751	2751
319	1	2733	2733	2733	2733
320	1	2699	2699	2699	2699
321	1	2676	2676	2676	2676
322	1	2667	2667	2667	2667
323	1	2584	2584	2584	2584
324	1	2555	2555	2555	2555
325	1	2538	2538	2538	2538
326	1	2536	2536	2536	2536
327	1	2534	2534	2534	2534
328	1	2501	2501	2501	2501
329	1	2495	2495	2495	2495
330	1	2468	2468	2468	2468
331	1	2451	2451	2451	2451
332	1	2441	2441	2441	2441
333	1	2412	2412	2412	2412
334	1	2387	2387	2387	2387
335	1	2385	2385	2385	2385
336	1	2359	2359	2359	2359
337	1	2313	2313	2313	2313
338	1	2308	2308	2308	2308
339	1	2299	2299	2299	2299
340	1	2278	2278	2278	2278
341	1	2266	2266	2266	2266
342	1	2252	2252	2252	2252
343	1	2229	2229	2229	2229
344	1	2227	2227	2227	2227
345	1	2225	2225	2225	2225
346	1	2201	2201	2201	2201
347	1	2196	2196	2196	2196
348	1	2161	2161	2161	2161
349	1	2156	2156	2156	2156
350	1	2154	2154	2154	2154
351	1	2153	2153	2153	2153
352	1	2147	2147	2147	2147
353	1	2142	2142	2142	2142
354	1	2131	2131	2131	2131
355	1	2130	2130	2130	2130
356	1	2123	2123	2123	2123
357	1	2121	2121	2121	2121
358	1	2115	2115	2115	2115
359	1	2114	2114	2114	2114
360	1	2113	2113	2113	2113
361	1	2112	2112	2112	2112
362	1	2101	2101	2101	2101
363	1	2100	2100	2100	2100
364	1	2095	2095	2095	2095
365	1	2088	2088	2088	2088
366	1	2081	2081	2081	2081
367	1	2079	2079	2079	2079
368	1	2079	2079	2079	2079
369	1	2074	2074	2074	2074
370	1	2074	2074	2074	2074
371	1	2071	2071	2071	2071
372	1	2030	2030	2030	2030
373	1	2016	2016	2016	2016
374	1	2016	2016	2016	2016
375	1	1971	1971	1971	1971
376	1	1954	1954	1954	1954
377	1	1954	1954	1954	1954
378	1	1949	1949	1949	1949
379	1	1948	1948	1948	1948
380	1	1930	1930	1930	1930
381	1	1927	1927	1927	1927
382	1	1905	1905	1905	1905
383	1	1893	1893	1893	1893
